amfi_code,period_years,start_nav,end_nav,CAGR
100016,1,596.8877,583.6113,-0.02224270997710287
100016,3,561.5519,583.6113,0.01292649342495622
100016,5,520.4608,583.6113,0.023168434686413164
100025,1,30.7452,31.8843,0.03704968580461343
100025,3,28.4135,31.8843,0.039163899571040384
100025,5,26.3169,31.8843,0.03912652604315703
100033,1,223.1951,342.0072,0.5323239623092084
100033,3,147.2155,342.0072,0.32442459421956116
100033,5,107.3758,342.0072,0.260740682788986
101206,1,522.7639,773.2939,0.4792412023860102
101206,3,360.4971,773.2939,0.2896769452874166
101206,5,305.0996,773.2939,0.20442729550832484
101207,1,71.018,53.9836,-0.23986031710270628
101207,3,61.3081,53.9836,-0.04152381044854481
101207,5,38.5736,53.9836,0.0695333570223926
101208,1,382.4272,410.1021,0.0723664530138024
101208,3,341.2705,410.1021,0.06315784491375509
101208,5,310.7415,410.1021,0.05705734207350055
102885,1,156.2127,187.7797,0.20207703983094838
102885,3,109.5778,187.7797,0.1966726206830185
102885,5,89.8728,187.7797,0.1587882255741997
102886,1,150.9137,125.564,-0.16797480944407306
102886,3,128.4997,125.564,-0.007674063178547241
102886,5,119.2905,125.564,0.010303498015576507
102887,1,333.6461,378.9657,0.135831349444816
102887,3,191.4633,378.9657,0.25556187904126526
102887,5,191.0721,378.9657,0.146781096489218
118632,1,82.5157,110.5554,0.339810484550213
118632,3,59.9173,110.5554,0.22652359830098634
118632,5,42.8339,110.5554,0.2088111809083788
118633,1,72.9656,91.601,0.25539980483954094
118633,3,51.5912,91.601,0.2108997654925684
118633,5,47.1836,91.601,0.14188358083768593
118634,1,116.2826,134.6683,0.15811221971300937
118634,3,106.8805,134.6683,0.08007927728656083
118634,5,69.1076,134.6683,0.14274127320122987
118635,1,266.7501,326.7508,0.22493224932249345
118635,3,189.0531,326.7508,0.20008208380471482
118635,5,170.3428,326.7508,0.13914386506748544
118636,1,34.2441,37.8243,0.10454939683040276
118636,3,33.5654,37.8243,0.040622050237771434
118636,5,30.1152,37.8243,0.046639279794601585
119092,1,50.0336,50.8387,0.016091186722522632
119092,3,50.045,50.8387,0.005258871209757432
119092,5,38.7466,50.8387,0.055825550357928355
119093,1,48.7784,58.4203,0.197667410165155
119093,3,33.127,58.4203,0.20816771175535864
119093,5,41.814,58.4203,0.06917406025598449
119094,1,166.74,203.8581,0.22261065131342206
119094,3,82.651,203.8581,0.35111802096428524
119094,5,68.3023,203.8581,0.24445308534360555
119095,1,98.1286,56.1319,-0.427976145588544
119095,3,81.548,56.1319,-0.11705806723995271
119095,5,52.5238,56.1319,0.013376247776951455
119120,1,51.3673,54.2038,0.055219955107626895
119120,3,45.7168,54.2038,0.05840358798463097
119120,5,42.1391,54.2038,0.051644356698553606
119551,1,93.0716,149.3216,0.6043734071403091
119551,3,67.2551,149.3216,0.3045652442030289
119551,5,54.3856,149.3216,0.22384873172214603
119552,1,130.2974,137.7323,0.05706100044974027
119552,3,87.6319,137.7323,0.16267372294624916
119552,5,58.4174,137.7323,0.18713118910689763
119598,1,169.1715,309.205,0.8277605861507404
119598,3,152.1339,309.205,0.2666992200118774
119598,5,89.8738,309.205,0.28033223731546975
119599,1,92.573,105.4849,0.1394780335518997
119599,3,109.8329,105.4849,-0.01337386614488112
119599,5,96.4565,105.4849,0.01805621440370042
120503,1,108.9046,118.1496,0.08489081269294418
120503,3,79.793,118.1496,0.13978381933703043
120503,5,55.3983,118.1496,0.16355566129520227
120504,1,133.6683,151.1311,0.13064279264417977
120504,3,64.9875,151.1311,0.3248742855621496
120504,5,60.1474,151.1311,0.20234028033314222
120505,1,365.5455,473.764,0.29604659337893646
120505,3,207.0322,473.764,0.317775371512347
120505,5,135.872,473.764,0.2837676208804263
120506,1,285.1667,404.4207,0.4181904829701364
120506,3,243.5209,404.4207,0.1842199653744454
120506,5,202.0453,404.4207,0.1488859671244569
120507,1,361.7349,388.5939,0.0742505077613469
120507,3,313.7274,388.5939,0.07394286300360076
120507,5,285.7447,388.5939,0.06341690270358713
120841,1,412.6489,482.127,0.16837098075385626
120841,3,298.9723,482.127,0.1726727508371786
120841,5,275.837,482.127,0.1181544242649819
120842,1,67.4648,82.6457,0.2250195657587366
120842,3,66.0535,82.6457,0.07756003551327284
120842,5,62.1265,82.6457,0.05873842419478348
120843,1,128.8832,163.2397,0.26657081760850154
120843,3,75.0212,163.2397,0.2958277033726251
120843,5,49.9131,163.2397,0.2674249401072899
120844,1,3984.8178,4268.5497,0.07120323042122512
120844,3,3514.2793,4268.5497,0.06695971624586994
120844,5,3180.6318,4268.5497,0.060604313665645115
125497,1,936.4319,1204.9571,0.2867535802656873
125497,3,725.3323,1204.9571,0.18434488610520172
125497,5,560.1443,1204.9571,0.16555918956858906
125498,1,163.1634,188.3619,0.15443720834451846
125498,3,136.8198,188.3619,0.11245222866621418
125498,5,117.5969,188.3619,0.09880199138430035
148567,1,191.3173,230.2708,0.20360678307711866
148567,3,95.7008,230.2708,0.3400091602163293
148567,5,70.2514,230.2708,0.2679927700697151
148568,1,179.7953,205.451,0.14269394138778924
148568,3,135.9792,205.451,0.14748035533586012
148568,5,84.0757,205.451,0.1956595954624316
148569,1,69.9408,97.7435,0.3975176148971702
148569,3,45.3433,97.7435,0.2917890157839378
148569,5,28.862,97.7435,0.2762985997578453
149322,1,513.2749,606.2349,0.1811115252275146
149322,3,368.5589,606.2349,0.18044206486636138
149322,5,348.7159,606.2349,0.11695026862847113
149323,1,201.9778,245.3651,0.21481222193726257
149323,3,120.1534,245.3651,0.268699908289022
149323,5,78.4622,245.3651,0.256118065778393
149324,1,169.4037,279.7511,0.6513871892998797
149324,3,136.5703,279.7511,0.27000426614519246
149324,5,81.6814,279.7511,0.2791743018490922
