amfi_code,max_drawdown,worst_drawdown_date
100016,-0.24734440880673303,2022-09-15
100025,-0.04308263824636349,2023-07-28
100033,-0.16217208574644848,2022-05-12
101206,-0.11291596329323073,2023-07-05
101207,-0.3544691649336603,2026-05-11
101208,-0.0016224980244717857,2023-09-12
102885,-0.1085986215250232,2022-03-29
102886,-0.2800112356639287,2026-04-27
102887,-0.21539827112383225,2022-07-04
118632,-0.17414075086657232,2024-07-19
118633,-0.18629743138595511,2024-02-29
118634,-0.2334488614483311,2026-02-20
118635,-0.1165062450540909,2022-06-09
118636,-0.08316361763638702,2024-02-09
119092,-0.1440161790933726,2025-02-07
119093,-0.21751396370148224,2023-05-22
119094,-0.20960883862039192,2022-08-11
119095,-0.5167775370852656,2026-05-11
119120,-0.04328728923970093,2025-04-01
119551,-0.1501238549864533,2024-02-05
119552,-0.11803493502764295,2024-09-02
119598,-0.2870600572176455,2025-05-14
119599,-0.5257422117012851,2025-10-28
120503,-0.13897862823061635,2023-11-09
120504,-0.12588275606922517,2023-05-30
120505,-0.18188513572116294,2025-01-23
120506,-0.1982565826298267,2023-08-14
120507,-0.0009773140045925555,2025-10-20
120841,-0.1757361416468729,2025-02-14
120842,-0.24003511326274884,2024-10-17
120843,-0.1297396816518679,2022-04-13
120844,-0.0011629327956168556,2024-04-30
125497,-0.15200013055606398,2025-01-01
125498,-0.21117279560132118,2025-09-12
148567,-0.11265729075028275,2023-10-20
148568,-0.1527259422823477,2024-01-24
148569,-0.1639674294693263,2023-10-20
149322,-0.14844576917771746,2022-02-04
149323,-0.17248105753451382,2022-10-24
149324,-0.31171900300634214,2025-01-03
