amfi_code,HHI,concentration
119092,0.206448,Moderate
101207,0.2007,Moderate
119599,0.174751,Moderate
102885,0.174709,Moderate
118632,0.168298,Moderate
148568,0.16793,Moderate
120505,0.15757,Moderate
120506,0.153794,Moderate
125498,0.152414,Moderate
120841,0.14968,Low
148569,0.149396,Low
100033,0.147592,Low
149323,0.141621,Low
120503,0.14087,Low
100016,0.139534,Low
148567,0.138584,Low
125497,0.136586,Low
119094,0.136406,Low
118635,0.135944,Low
149322,0.134398,Low
119093,0.130894,Low
102887,0.129805,Low
101206,0.129332,Low
120843,0.128683,Low
120842,0.127439,Low
118633,0.121461,Low
119551,0.118716,Low
149324,0.118677,Low
102886,0.114693,Low
119095,0.109605,Low
120504,0.108674,Low
118634,0.108358,Low
119552,0.108011,Low
119598,0.107349,Low
