amfi_code,observations,VaR_95,CVaR_95
119599,1150,-0.026855,-0.032384
119095,1150,-0.026178,-0.031667
101207,1150,-0.02602,-0.032459
118634,1150,-0.025428,-0.032304
119598,1150,-0.024506,-0.030595
149324,1150,-0.023476,-0.031036
102886,1150,-0.019214,-0.023251
100033,1150,-0.019029,-0.023456
120505,1150,-0.018888,-0.024342
119094,1150,-0.018475,-0.02426
125498,1150,-0.018362,-0.023094
120842,1150,-0.018215,-0.022725
149323,1150,-0.017875,-0.022607
148569,1150,-0.017118,-0.021328
102887,1150,-0.015229,-0.019411
148568,1150,-0.014708,-0.018765
125497,1150,-0.014591,-0.01831
120843,1150,-0.014506,-0.018381
149322,1150,-0.014473,-0.018402
120506,1150,-0.014387,-0.019405
100016,1150,-0.014361,-0.01806
119093,1150,-0.014223,-0.017487
118632,1150,-0.013953,-0.017619
119092,1150,-0.01374,-0.017328
120504,1150,-0.013726,-0.017494
148567,1150,-0.013559,-0.017623
120503,1150,-0.013549,-0.017451
119552,1150,-0.0135,-0.017336
118633,1150,-0.013441,-0.01663
101206,1150,-0.01328,-0.017439
120841,1150,-0.013142,-0.016363
119551,1150,-0.012845,-0.016397
102885,1150,-0.012611,-0.01549
118635,1150,-0.01255,-0.016177
119120,1150,-0.003937,-0.005014
118636,1150,-0.003803,-0.004919
100025,1150,-0.003793,-0.004994
120844,1150,-0.000284,-0.000411
101208,1150,-0.000268,-0.000422
120507,1150,-0.000222,-0.000373
