
date,nav
02-09-2015,10.00000
01-09-2015,12.11900
31-08-2015,12.11740
28-08-2015,12.11260
27-08-2015,12.11090
26-08-2015,12.10910
25-08-2015,12.10740
24-08-2015,12.10570
21-08-2015,12.10060
20-08-2015,12.09890
19-08-2015,12.09720
17-08-2015,12.09370
14-08-2015,12.08800
13-08-2015,12.08630
12-08-2015,12.08440
11-08-2015,12.08260
10-08-2015,12.08080
07-08-2015,12.07560
06-08-2015,12.07390
05-08-2015,12.07210
04-08-2015,12.07040
03-08-2015,12.06860
31-07-2015,12.06330
30-07-2015,12.06150
29-07-2015,12.05970
28-07-2015,12.05790
27-07-2015,12.05620
24-07-2015,12.05050
23-07-2015,12.04910
22-07-2015,12.04730
21-07-2015,12.04550
20-07-2015,12.04370
17-07-2015,12.03830
16-07-2015,12.03640
15-07-2015,12.03460
14-07-2015,12.03280
13-07-2015,12.03100
10-07-2015,12.02560
09-07-2015,12.02370
08-07-2015,12.02190
07-07-2015,12.02010
06-07-2015,12.01830
03-07-2015,12.01320
02-07-2015,12.01100
01-07-2015,12.00890
30-06-2015,12.00660
29-06-2015,12.00390
26-06-2015,11.99730
25-06-2015,11.99720
24-06-2015,11.99580
23-06-2015,11.99400
22-06-2015,11.99210
19-06-2015,11.98650
18-06-2015,11.98480
17-06-2015,11.98290
16-06-2015,11.98120
15-06-2015,11.97930
12-06-2015,11.97410
11-06-2015,11.97230
10-06-2015,11.96980
09-06-2015,11.96730
08-06-2015,11.96470
05-06-2015,11.95710
04-06-2015,11.95460
03-06-2015,11.95190
02-06-2015,11.94900
01-06-2015,11.94670
29-05-2015,11.93760
28-05-2015,11.93450
27-05-2015,11.93190
26-05-2015,11.92930
25-05-2015,11.92620
22-05-2015,11.91810
21-05-2015,11.91530
20-05-2015,11.91170
19-05-2015,11.90880
18-05-2015,11.90570
15-05-2015,11.89750
14-05-2015,11.89420
13-05-2015,11.89100
12-05-2015,11.88810
11-05-2015,11.88520
08-05-2015,11.87710
07-05-2015,11.87460
06-05-2015,11.87340
05-05-2015,11.87090
30-04-2015,11.85810
29-04-2015,11.85570
28-04-2015,11.85320
27-04-2015,11.85070
24-04-2015,11.84290
23-04-2015,11.84080
22-04-2015,11.83820
21-04-2015,11.83580
20-04-2015,11.83320
17-04-2015,11.82550
16-04-2015,11.82290
15-04-2015,11.82030
13-04-2015,11.81520
10-04-2015,11.80780
09-04-2015,11.80480
08-04-2015,11.80240
07-04-2015,11.80040
06-04-2015,11.79850
31-03-2015,11.78190
30-03-2015,11.76510
27-03-2015,11.75670
26-03-2015,11.75390
25-03-2015,11.75050
24-03-2015,11.74790
23-03-2015,11.74600
20-03-2015,11.73960
19-03-2015,11.73710
18-03-2015,11.73410
17-03-2015,11.73160
16-03-2015,11.72940
13-03-2015,11.72090
12-03-2015,11.71810
11-03-2015,11.71510
10-03-2015,11.71290
09-03-2015,11.71180
05-03-2015,11.70160
04-03-2015,11.69800
03-03-2015,11.68860
02-03-2015,11.68600
27-02-2015,11.67860
26-02-2015,11.67600
25-02-2015,11.67290
24-02-2015,11.66920
23-02-2015,11.66630
20-02-2015,11.65460
18-02-2015,11.64830
16-02-2015,11.64360
13-02-2015,11.63540
12-02-2015,11.63190
11-02-2015,11.63350
10-02-2015,11.63280
09-02-2015,11.63170
06-02-2015,11.62580
05-02-2015,11.62590
04-02-2015,11.62400
03-02-2015,11.62120
02-02-2015,11.61850
30-01-2015,11.61220
29-01-2015,11.61040
28-01-2015,11.60720
27-01-2015,11.60480
23-01-2015,11.59430
22-01-2015,11.59230
21-01-2015,11.59020
20-01-2015,11.58870
19-01-2015,11.58590
16-01-2015,11.57920
15-01-2015,11.57570
14-01-2015,11.56910
13-01-2015,11.56670
12-01-2015,11.56380
09-01-2015,11.55520
08-01-2015,11.55070
07-01-2015,11.54680
06-01-2015,11.54410
05-01-2015,11.54170
02-01-2015,11.53400
01-01-2015,11.52900
31-12-2014,11.52500
30-12-2014,11.52220
29-12-2014,11.52460
26-12-2014,11.51690
24-12-2014,11.51190
23-12-2014,11.50950
22-12-2014,11.50740
19-12-2014,11.50000
18-12-2014,11.49870
17-12-2014,11.49670
16-12-2014,11.49530
15-12-2014,11.49710
12-12-2014,11.48940
11-12-2014,11.48730
10-12-2014,11.48470
09-12-2014,11.48260
08-12-2014,11.47960
05-12-2014,11.47230
04-12-2014,11.47060
03-12-2014,11.46740
02-12-2014,11.46500
01-12-2014,11.46220
28-11-2014,11.45400
27-11-2014,11.45070
26-11-2014,11.44850
25-11-2014,11.44530
24-11-2014,11.44040
21-11-2014,11.43390
20-11-2014,11.43080
19-11-2014,11.42740
18-11-2014,11.42450
17-11-2014,11.42140
14-11-2014,11.41340
13-11-2014,11.40850
12-11-2014,11.40690
11-11-2014,11.40420
10-11-2014,11.40100
07-11-2014,11.39140
05-11-2014,11.38520
03-11-2014,11.37850
31-10-2014,11.36930
30-10-2014,11.36540
29-10-2014,11.36190
28-10-2014,11.35750
27-10-2014,11.35350
22-10-2014,11.33880
21-10-2014,11.33690
20-10-2014,11.33370
17-10-2014,11.32500
16-10-2014,11.32150
14-10-2014,11.31380
13-10-2014,11.30810
10-10-2014,11.30020
09-10-2014,11.29730
08-10-2014,11.29450
07-10-2014,11.29050
01-10-2014,11.27400
30-09-2014,11.27080
29-09-2014,11.26730
26-09-2014,11.25970
25-09-2014,11.25560
24-09-2014,11.25460
23-09-2014,11.25170
22-09-2014,11.24830
19-09-2014,11.24090
18-09-2014,11.23840
17-09-2014,11.23460
16-09-2014,11.23100
15-09-2014,11.22900
12-09-2014,11.22100
11-09-2014,11.21890
10-09-2014,11.21610
09-09-2014,11.21360
08-09-2014,11.21100
05-09-2014,11.20310
04-09-2014,11.20190
03-09-2014,11.19860
02-09-2014,11.19440
01-09-2014,11.19160
28-08-2014,11.18150
27-08-2014,11.18130
26-08-2014,11.17520
25-08-2014,11.17300
22-08-2014,11.16390
21-08-2014,11.16240
20-08-2014,11.15930
19-08-2014,11.15740
14-08-2014,11.14340
13-08-2014,11.14040
12-08-2014,11.13790
11-08-2014,11.13390
08-08-2014,11.12600
07-08-2014,11.12500
06-08-2014,11.12270
05-08-2014,11.12530
04-08-2014,11.12760
01-08-2014,11.11950
31-07-2014,11.11990
30-07-2014,11.11520
28-07-2014,11.11260
25-07-2014,11.10760
